439,1693,580,1306,210,186.5,491.03,1571.8,218,119,314,728,478,683,720,171.5,148,711.75,607.22,210,234,165,1248.9,594.7
411,1657,597,1259,179,241,524.74,1380.1,202.5,238,270,749,394,677,750,163.5,148,715.99,481.7,218,130,344,1307.4,515.25
431,1674,562,1287,218,210,442.14,1598.6,226,90,409,751,389,654.01,773,171,148,705.09,544.65,210,190,309,1324.2,522.17
427,1698,570,1319,218,202,451.43,1582,171,142,380,763,393,660,775,179,148,689.62,676.9,155.5,315,215,1347.6,551.39
415,1702,566,1295,233.5,241.5,421.09,1638.2,226,105,420,770,379,672,799,148,148,717.79,556.83,241,171,346,1369.8,508.07
402,1697,586,1336,233.5,202.5,544.11,1363.3,226,387,186,804,364,688,800,171.5,140,761.5,494.48,226,131,411,1392.3,545.62
468,1709,576,1367,218,218,486.44,1620.7,226,117,416,680,441,642,797,155.5,148,663.86,544.63,233.5,142,375,1285.6,573.81
466,1751,576.21,1367.8,226,155.5,527.99,1481.4,155.5,244,272,684,416,638,789.22,171.5,148,652.65,582.13,155.5,219,322,1352.7,581.86
497,1738,584,1388,218,163.5,499.57,1627.6,155.5,132,335,641,385,599,810,140,179,622.29,484.57,155.5,132,351,1360.6,578.19
520,1732,609,1311,226,257,559.21,1415,210,275,224,608,375,621,751,155.5,148,618.18,575.76,218,217,257,1359.9,554.39
473,1719,589,1375,226,186.5,523.1,1490.4,171.5,221,204,674,362,653,726,163.5,186.5,663.35,471.13,171.5,145,328,1371.8,624.98
450,1751,617,1407,233.5,171,571.92,1397.3,171.5,299,84,789,357,700,726,171.5,132,730.79,556.69,155.5,174,242,1434.6,686.04
484,1724,584,1365,233.5,179,552.4,1438.8,163.5,252,181,786,394,698,757,163.5,155.5,734.01,555.47,171.5,162,280,1363.9,618.6
475,1719,557,1415,225.5,163.5,520.47,1481.1,171.5,222,160,744,442,667,798,155.5,155.5,703.42,583.41,171.5,139,243,1305,626.73
480,1726,613.31,1353.8,225.5,194.5,514.77,1541.1,202,186,298,721,434,664,810.14,171.5,186.5,690.6,575.73,226,120,372,1314.3,546.07
656,1771,687,1413,202,225.5,673.45,1420.9,202.5,345,96,530,436,587,860,163.5,140,538.74,542.88,218,123,302,1340.9,561.97
359,1736,561,1351,187,179,406.47,1659.2,163.5,134,390,859,373,731,750,171.5,163.5,765.91,614.21,163.5,267,274,1451.8,624.58
409,1773,548,1401,218,187,478.86,1538.1,163.5,277,255,732,324,676,731,148,155.5,690.32,570.08,171.5,253,297,1484.6,680.11
378,1650,558,1297,202,218,529.15,1325.6,163.5,430,128,882,304,710,754,163.5,155.5,773.54,563.68,163.5,272,302,1437.3,563.87
351,1664,538,1301,187,179,382.4,1628.3,226,134,457,867,293,685,742,171.5,155.5,755.03,540.92,210,233,349,1464.9,575.36
315,1676,516,1341,163.5,163.5,445.25,1442.5,171.5,317,239,880,336,710,726,171.5,132,840.52,402.6,171.5,153,431,1454.2,644.87
326,1705,523,1342,194.5,202,418.4,1556,171.5,212,311,823,377,702,742,155.5,155.5,759.1,535.34,163.5,213,344,1418,626.13
355,1704,534,1367,218,272,519,1363,155.5,490,67,839,345,710,687,163.5,155.5,774.79,491.42,148,213,343,1442.6,700.42
365,1730,529,1443,171,186.5,386.7,1663.1,155.5,116,440,774,383,701,700,148,140,770.76,412.65,155.5,102,473,1407.7,762.65
427.12,1694.2,561.25,1312.9,216.09,180.07,489.62,1536.8,217.2,130.49,285.48,716,465.81,671.67,711.68,170.91,149.84,721.92,618.26,215.14,236.28,187.37,1261.6,584.07
408.74,1670.1,599.12,1251.2,184.53,236.63,563.85,1334.6,193.82,233.35,271.51,731.64,401.3,678.92,758.48,165.77,151.68,732.46,495.34,221.31,146.25,352.25,1307.5,502.65
421.4,1685,555,1274.4,216.18,209.42,434.33,1589.2,226.39,133.59,434.45,775.92,397.7,640.23,777.75,168.77,148.05,725.85,524.58,208.92,191.8,282.48,1320.6,534.46
428.91,1694.3,579.88,1315.9,217.34,200.99,467.02,1565.7,167.49,105.67,409.41,775.71,404.34,666.89,778.01,179.36,153.63,681.5,653.82,152.92,329.57,232.89,1357.6,545.48
435.43,1703.4,558.31,1297.2,237.22,252.43,434.57,1649.6,217.38,130.93,417.55,775.21,378.78,669.27,803.13,151.44,145.16,718.17,564.44,256.55,169.36,336.05,1399.9,486.82
415.44,1687.9,586.07,1347,234.11,217.92,570.29,1324.4,225.62,390.84,132.24,809.16,370.77,693.77,800.43,171.03,133.04,758.96,499.12,223.17,121.91,416.12,1405.8,545.78
488.7,1712.3,567.57,1357.9,223.76,210.57,495.1,1615.3,224.59,119.21,384.19,662.37,460.71,637.27,787.57,153.42,145.39,654.35,530.41,232.06,141.47,378.71,1286.9,576.97
449.44,1757,570.09,1362.1,222.52,150.63,487.37,1442.3,156.79,263.15,278.34,705.32,416.58,640.89,794.6,176.29,147.31,656.92,600.87,148.41,216.21,307.14,1343.9,575.49
500.25,1745.3,581.66,1422.3,220.39,167.45,485.52,1674.5,162.18,163.89,358.03,648.44,383.05,608.27,801.84,139.39,177.7,627.91,485.07,149.35,144.36,302.57,1368.3,588.48
502.2,1719.5,606.94,1303.8,227.46,254.11,567.64,1411.9,213.88,246.38,237.43,602.39,394.38,603.58,740.35,156.59,145.05,612.65,577.63,213.59,216.21,266.06,1352.4,557.89
479.97,1723.1,584.28,1397.2,233.06,201.63,527.35,1522.2,180.3,256.25,186.23,670.04,334.57,636.57,715.32,161.52,191.16,665.43,475.28,184.42,133.21,322.21,1375.5,621.69
455.9,1743.9,627.14,1418.1,226.67,183.42,604.25,1410.2,166.59,266.66,149.09,786.82,352.01,683.88,734.65,172.21,126.37,772.75,568.11,152.55,171.83,231.88,1446.5,685.36
507.47,1720.9,588.94,1358.6,233.5,183.24,575.57,1462.4,157.68,223.3,183.1,766.96,420.57,705.47,766.75,164.65,153.79,733.89,578.55,166.29,178.66,287.09,1378,625.69
494.9,1725.4,573.67,1413.8,225.77,167.78,528.66,1451.2,170.86,204.03,185.1,759.91,436.85,670.57,780.51,155.51,152.12,714.57,579.44,168.11,133.18,231.33,1314,619.89
