335,1733,858,1696,179,202.5,571.2,1688.1,163.5,528.59,1.0593,168.62,-0.75067,165,334
298,1773,821,1756,148,171.5,519.74,1710.7,163.5,538.16,1.1933,164.48,-0.52368,141,310
305,1780,833,1750,148,163.5,505.9,1718.7,163.5,542.35,1.1664,164.5,-0.54085,151,314
301,1777,818.15,1752.1,148,186.5,560.75,1702.1,163.5,537.12,1.1332,166.07,-0.76754,161,313
579,1446,600,1859,156,171.5,616.79,1583.2,155.5,428.15,0.95569,162.91,-0.76086,130,318
333,1739,797,1711,179,171.5,535.99,1679.8,163.5,478.68,1.2799,158.64,-0.76825,125,249
617,1468,644,1853,179,171.5,660.82,1641.2,171.5,397.37,0.99841,154.57,-0.74479,127,271
359,1764,812,1738,179,186.5,590.55,1711.7,155.5,462.46,0.8792,165.37,-0.7628,164,362
600,1468,615,1859,194.5,163.5,626.86,1624.8,171.5,415.18,1.0812,160.1,-0.74978,124,260
336,1761,805,1739,171.5,194.5,609.39,1716.9,155.5,476.23,1.0559,164.59,-0.28102,176,275
610,1469,601,1866,187,186.5,632.78,1664.3,163.5,402.83,0.89718,162.38,1.3979,150,299
612,1465,602,1848,187,187,642.67,1646.2,163.5,396.06,0.93631,165.08,1.2854,143,280
352,1737,818,1701,171.5,186.5,555.93,1688.2,155.5,475.64,0.93445,164.36,-0.76552,161,348
353,1753,818,1740,171.5,163.5,580.97,1694.4,171.5,483.23,1.1397,161.38,-0.39687,138,286
631,1434,639,1854,179,171.5,678.82,1620.8,163.5,431.54,0.99894,162.24,1.2559,146,286
334,1775,825,1733,155.5,148,567.95,1712.2,155.5,504.66,1.0236,161.59,-0.67869,175,318
621,1440,641,1833,194.5,179,657.08,1614.8,163.5,399.05,0.92586,160.13,1.3056,148,283
336,1768,846,1728,171.5,186.5,557.5,1699.2,155.5,528.22,1.0959,162.07,-0.76883,159,323
619,1446,644,1849.2,163.5,171.5,670.51,1642.7,163.5,414.16,0.97679,161.87,-0.73089,153,271
346,1778,824,1742,163.5,186.5,537.92,1709.8,163.5,494.84,1.1455,161.96,-0.76247,139,293
601,1467,658,1848.6,187,163.5,661.93,1629.5,163.5,395.79,0.97007,160.02,1.0383,148,260
354,1759,835,1745,179,171.5,591.24,1704.8,171.5,493.95,1.1001,163.55,-0.40492,159,290
597,1474,646,1864,179,194.5,644.6,1604.7,155.5,403.36,0.98862,156.79,-0.75654,129,279
350,1737,818,1729,171.5,194.5,568.42,1688,155.5,479.95,1.151,159.92,-0.36726,148,269
349,1784,848,1748,155.5,179,545.52,1718.1,155.5,514.11,0.95205,164.8,-0.77368,156,384
302,1783,853,1747,148,179,538.69,1723.6,155.5,561.87,1.1283,163.55,-0.76316,165,333
329,1784,853,1744,163.5,171.5,603.44,1721.7,155.5,536.58,1.0086,163.05,-0.7644,200,332
334,1770,835,1771,163.5,171.5,511.41,1735.9,155.5,508.84,1.0363,159.07,-0.44317,143,348
334,1812,822,1770,163.5,186.5,528.98,1743.4,163.5,505.37,0.99288,160.58,-0.66293,169,340
624,1437,623,1861,179,210,653.75,1585.3,171.5,429.55,0.93381,163.54,-0.74904,128,332
354,1805,814,1750,171.5,186.5,507.47,1750.1,163.5,471.87,1.0676,164.17,-0.77478,130,312
348,1804,818,1762,171.5,194.5,526.16,1746.9,163.5,481.21,1.1349,161.98,-0.7653,130,294
605,1477,646,1875,187,186.5,651.34,1645.9,179,406.79,0.87108,160.77,-0.75611,173,294
377,1812,807,1805,171.5,202.5,553.12,1775,155.5,439.04,0.99782,162.29,-0.77787,157,283
350,1814,795,1796,171.5,186.5,526.47,1753.6,163.5,463.48,1.1115,159.95,-0.54278,108,309
339,1815,776,1784,171.5,186.5,524.02,1758.6,163.5,451.23,1.0421,154.22,-0.4873,110,323
590,1482,633,1874,187,179,639.63,1691.4,155.5,409.15,0.90923,162.28,-0.74106,186,264
358,1801,801,1791,171.5,186.5,624.76,1745,163.5,459.97,1.1764,157.65,-0.40155,146,245
597,1489,638,1856.5,187,148,648.99,1661.8,171.5,377.35,0.92944,153.12,1.1475,140,266
356,1794,819,1778,171.5,179,555.38,1732.4,163.5,481.91,1.1129,158.6,-0.66373,134,299
577,1492,627,1864,171.5,202.5,636.84,1622.5,155.5,391.15,0.89101,162.78,0.89771,126,313
352,1770,835,1736,171.5,171.5,511.9,1703.9,163.5,502.12,1.0227,160.76,-0.62707,138,353
355,1746,837,1713,171.5,186.5,582.9,1682.3,171.5,497.59,1.0841,160.91,-0.51698,132,327
341,1792,830,1768,171.5,186.5,587.41,1732,171.5,505.72,1.047,162.69,-0.77084,141,342
338,1804,817,1775,171.5,186.5,547.52,1738.6,163.5,497.85,1.1113,158.48,-0.6362,133,315
345,1806,822.12,1787,171.5,171.5,542.86,1765.7,155.5,486.11,0.97222,155.09,-0.55677,170,330
345,1801,823,1763,163.5,179,533.97,1744.9,171.5,489.85,1.0142,159.96,-0.50259,154,329
331,1780,828,1759,155.5,163.5,532.92,1733,163.5,507.46,1.1104,162.02,-0.77425,155,302
605,1481,629,1862,187,202,641.35,1618.3,155.5,403.56,0.94732,160.14,-0.74891,132,294
341,1803,837,1803,171.5,179,569.79,1748.1,163.5,514.48,1.029,156.74,-0.53907,150,350
