88,120,204.13
84.88,189.5,194.5
87.92,179,198.38
88.5,176.17,201.28
88.6,177.33,200.7
88.64,165.38,199.2
89.94,208.04,196.42
89.9,218.87,196.03
90.7,223.06,195.53
91.29,231.08,195.45
92,222.21,194.93
92.45,220,193.93
91.68,217.2,193.84
91.7,211.35,193.39
93.07,205.35,193.46
93.36,201.07,193.08
93.07,199.33,193.15
91.92,208.92,193.19
92.53,207.32,193.86
92.75,210.04,194.39
91.96,211.39,194.87
92.24,207.6,194.78
92.29,204.85,194.47
92.05,202.94,195.05
92.46,205.11,195.3
88.624,122.35,203.87
84.537,184.17,194.54
88.09,183.75,197.02
89.283,182.4,201.67
88.139,179.16,200.75
88.142,165.47,199.26
89.684,201.41,196.97
90.129,221.69,196.76
90.594,216.14,196.09
90.782,240.13,195.12
91.184,225.21,194.9
92.258,221.51,194.18
91.565,214.96,192.96
91.422,198.96,192.67
92.934,198.55,193.16
92.791,203.15,193.13
93.355,213.06,194.4
90.791,213.13,193.75
92.605,209.08,193.55
93.097,206.96,193.95
91.519,212.09,195.94
92.21,213.08,196.69
92.441,203.4,194.59
91.731,213.71,194.72
92.453,198.17,194.31
88.506,119.17,204.9
85.03,187.3,194.37
88.525,186.49,197.6
88.028,171.64,201.45
88.725,178.1,201.79
88.3,167.76,198.37
90.602,212.71,196.25
89.614,214.01,196.73
90.655,225.09,194.19
91.109,246.72,195.89
92.516,213.6,195.46
92.672,222.47,194.08
91.159,215.89,193.3
91.372,206.64,193.39
92.527,200.61,193.53
93.623,203.9,193.73
93.242,212.51,193.61
91.071,204.4,192.95
91.54,210.4,194.99
92.729,206.86,194.35
92.322,222.64,194.3
92.328,210.7,194.47
91.489,204.07,195.07
91.244,206.47,195.19
92.91,205.08,195.92
88.036,118.67,203.26
86.171,183.54,194.39
87.055,188.01,197.25
88.284,174.75,202.85
88.556,184.69,201.22
88.686,167.44,197.76
90.696,206.54,195.61
90.014,225.03,195.96
90.64,228.65,194.33
91.326,230.45,195.13
92.39,229.59,195.69
92.092,230.14,193.82
91.914,216.83,193.79
90.888,209.89,192.69
93.029,207.65,193.07
92.871,203.07,192.14
92.731,203.93,193.4
92.067,207.47,192.87
91.946,211.39,194.41
92.237,216.01,195.25
91.173,212.4,195.62
91.083,208.47,194.76
92.211,197.71,194.12
92.654,196.27,194.2
92.366,196.79,195.38
