620,1227,668.27,1402.7,156,179,1127.1,1.3418,158.82,387.2,1392,163.5,-0.66181,263,535.36,1191.9,163.5,0.33014,131,668.27,1402.7,163.5,-1.0681,826,416.31,1471.6,156,-0.25641,346
616,1272,687.2,1504.8,163.5,179,1129.5,1.4279,156.84,405.28,1505.2,155.5,-0.83466,246,571.08,1238.2,163.5,0.37807,114,687.2,1504.8,148,-0.31543,775,618.84,1563.2,156,-0.95313,660
625,1319,734,1482,155.5,194.5,1211.4,1.5836,158.8,405.19,1555.5,155.5,-0.687,213,591.84,1306.1,156,1.3673,81,734.38,1481.8,194.5,-0.1736,760,445.91,1619.1,163.5,-0.34472,280
637,1338,688,1544,148,163.5,1123.1,1.4975,156.36,398.86,1583.1,163.5,-0.60389,215,595.06,1315,148,1.3693,83,688,1544,163.5,-0.26814,742,449.61,1642.9,155.5,-0.26655,281
607,1355,706,1570,163.5,148,1189.8,1.6057,156.06,382,1601.7,156,-0.59076,208,570.89,1336.7,163.5,1.2125,75,706,1570,148,-0.29481,733,602.65,1657.6,171,-0.78974,605
635,1373,751,1527,140,171.5,1232.4,1.7164,156.08,400.62,1584.1,171,-0.81199,193,598.25,1357.6,156,1.3359,77,751,1527,171.5,-0.31631,710,464.74,1670,163.5,-0.31828,276
604,1387,747,1564,155.5,155.5,1434.1,1.777,157.93,345.64,1629.2,155.5,-0.82798,217,560.65,1378.7,163.5,1.4355,84,747,1564,155.5,-0.21809,799,443.14,1765,163.5,-0.22439,316
661,1430,761,1615,163.5,163.5,1432.5,1.6041,159.07,390.78,1694,155.5,-0.68949,269,605.21,1416,156,1.368,120,761,1615,163.5,-0.28226,884,429.07,1777.3,155.5,-0.42162,352
672,1425,821,1625,163.5,187,1611,1.8798,160.55,357.75,1705.8,163.5,-0.79664,233,606.45,1413.5,163.5,1.5069,84,821,1625,187,-0.31321,848,405,1794.3,171,-0.33807,316
684,1477,789,1650,163.5,163.5,1498.9,1.7469,159.51,384,1726.7,171.5,-0.62865,253,631.9,1453,155.5,1.1686,104,789,1650,163.5,-0.39985,850,441.23,1807,163.5,-0.46069,336
